epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,11742.9,0.77856,1.44507,0.18342,0.63781,0.9444,0.70791,0.38272,0.3618,0.25952,0.68232,0.22073,0.23113,0.14455,0.79688,1.57217,0.17324,0.66265,0.94049,0.00022847,0.00022847,0.00022847
73,11874.7,0.77187,1.39693,0.18607,0.62599,0.9385,0.39784,0.43092,0.3734,0.24411,0.45611,0.23671,0.21272,0.14464,0.80902,1.5677,0.17274,0.65105,0.94405,0.000220857,0.000220857,0.000220857
74,11986.7,0.76381,1.36727,0.18407,0.62215,0.94105,0.7245,0.38557,0.38008,0.2603,0.69178,0.22746,0.2222,0.14954,0.80017,1.5829,0.17199,0.65062,0.94433,0.000213244,0.000213244,0.000213244
75,12115.9,0.77498,1.4166,0.18401,0.61345,0.93841,0.57505,0.45715,0.37604,0.25521,0.78183,0.21135,0.21838,0.14649,0.79673,1.58071,0.17185,0.64528,0.93702,0.000205631,0.000205631,0.000205631
76,12303.4,0.77411,1.36529,0.18388,0.6294,0.93643,0.77419,0.30699,0.37025,0.24958,0.70576,0.23206,0.21837,0.1504,0.79925,1.53219,0.17172,0.64939,0.945,0.000198018,0.000198018,0.000198018
77,12426.8,0.75941,1.39713,0.18754,0.61928,0.93482,0.57459,0.39215,0.36013,0.24999,0.61149,0.23137,0.20291,0.13571,0.79844,1.52161,0.17163,0.64795,0.9424,0.000190404,0.000190404,0.000190404
78,12582,0.75427,1.3409,0.182,0.59813,0.92389,0.84018,0.35599,0.39447,0.26241,0.72051,0.23617,0.21491,0.14016,0.79367,1.51598,0.17204,0.63336,0.94359,0.000182791,0.000182791,0.000182791
79,12709.9,0.74923,1.28744,0.18203,0.59735,0.92941,0.58116,0.35413,0.38525,0.25621,0.61722,0.23232,0.22033,0.15567,0.79931,1.49612,0.17126,0.6372,0.93972,0.000175178,0.000175178,0.000175178
80,12855.7,0.74781,1.34371,0.18322,0.59439,0.92763,0.72628,0.36499,0.39455,0.26912,0.60789,0.26173,0.23278,0.15649,0.79047,1.49989,0.16987,0.64839,0.94072,0.000167565,0.000167565,0.000167565
81,12991.7,0.74368,1.28161,0.17964,0.57749,0.92284,0.61174,0.42913,0.40805,0.26755,0.68052,0.22722,0.23772,0.15309,0.79528,1.50394,0.16934,0.63973,0.94036,0.000159952,0.000159952,0.000159952
82,13119.9,0.74627,1.31521,0.18043,0.59335,0.93529,0.71347,0.40494,0.39008,0.24933,0.63323,0.21399,0.22749,0.14886,0.78543,1.51482,0.16978,0.63884,0.93627,0.000152339,0.000152339,0.000152339
83,13242,0.74374,1.28962,0.18253,0.58655,0.91637,0.58569,0.44148,0.39073,0.24992,0.67237,0.19783,0.22213,0.15169,0.7934,1.4743,0.16964,0.63679,0.93901,0.000144726,0.000144726,0.000144726
84,13440.7,0.74743,1.22276,0.18109,0.57852,0.92281,0.63872,0.39921,0.41565,0.27888,0.64097,0.2462,0.246,0.15753,0.7919,1.49812,0.16968,0.63567,0.93436,0.000137113,0.000137113,0.000137113
